i m 	j ai ans 
we aren t very hungry yet 	nous n avons pas encore tres faim 
we re almost out of sugar 	nous sommes presque a court de sucre 
we re as good as dead now 	nous sommes desormais pour ainsi dire morts 
we re as good as dead now 	nous sommes desormais pour ainsi dire mortes 
we re as hungry as wolves 	nous avons une faim de loup 
we re getting out of here 	nous sortons d ici 
we re getting out of here 	nous partons d ici 
we re going the wrong way 	nous allons dans la mauvaise direction 
we re going to the movies 	nous nous rendons au cinema 
we re having some problem 	nous avons un probleme 
we re here to protect you 	nous sommes la pour te proteger 
we re here to protect you 	nous sommes la pour vous proteger 
we re late because of you 	nous sommes en retard a cause de vous 
we re late because of you 	nous sommes en retard a cause de toi 
we re not friends anymore 	nous ne sommes plus amis 
we re not friends anymore 	nous ne sommes plus amies 
we re not getting married 	nous n allons pas nous marier 
we re not living together 	nous ne vivons pas ensemble 
we re not really brothers 	nous ne sommes pas vraiment freres 
we re not to be disturbed 	il ne faut pas nous deranger 
we re up against the wall 	nous sommes dos au mur 
you are both in the wrong 	vous avez tous deux faux 
you are easily distracted 	tu es facilement distrait 
you are in over your head 	tu es dedans jusqu au cou 
you are late this morning 	vous etes en retard ce matin 
you are selling him short 	tu le sous estimes 
you are such a sweetheart 	tu es tellement adorable 
you are such a sweetheart 	vous etes tellement adorable 
you are tired aren t you 	tu es fatigue non 
you are tired aren t you 	vous etes fatigues pas vrai 
you are tired aren t you 	vous etes fatigue n est ce pas 
you aren t a spy are you 	tu n es pas un espion si 
you aren t a spy are you 	vous n etes pas une espionne si 
you aren t as short as me 	tu n es pas aussi petit que moi 
you aren t as short as me 	tu n es pas aussi petite que moi 
you re german aren t you 	tu es allemand n est ce pas 
you re german aren t you 	vous etes allemands n est ce pas 
you re a wonderful friend 	tu es un merveilleux ami 
you re a wonderful friend 	tu es une merveilleuse amie 
you re a wonderful friend 	vous etes un merveilleux ami 
you re a wonderful friend 	vous etes une merveilleuse amie 
you re afraid aren t you 	tu as peur pas vrai 
you re afraid aren t you 	vous avez peur pas vrai 
you re always complaining 	tu te plains toujours 
you re always complaining 	vous vous plaignez toujours 
you re always saying that 	vous dites toujours ca 
you re always saying that 	tu dis toujours ca 
you re always saying that 	vous dites toujours cela 
you re always saying that 	tu dis toujours cela 
you re going to win today 	tu vas gagner aujourd hui 
you re going to win today 	vous allez gagner aujourd hui 
you re in the right place 	tu es au bon endroit 
you re not a teenager yet 	tu n es pas encore adolescent 
you re not a teenager yet 	vous n etes pas encore adolescente 
you re not a teenager yet 	vous n etes pas encore adolescent 
you re not a teenager yet 	tu n es pas encore adolescente 
you re not as smart as me 	t es pas aussi malin que moi 
you re not as smart as me 	tu n es pas aussi malin que moi 
you re not as smart as me 	vous n etes pas aussi malin que moi 
you re not as smart as me 	t es pas aussi maligne que moi 
you re not as smart as me 	tu n es pas aussi maligne que moi 
you re not as smart as me 	vous n etes pas aussi malins que moi 
you re not as smart as me 	vous n etes pas aussi malignes que moi 
you re not as smart as me 	vous n etes pas aussi maligne que moi 
you re not being rational 	tu n es pas rationnel 
you re not being rational 	tu n es pas rationnelle 
you re not being rational 	vous n etes pas rationnel 
you re not being rational 	vous n etes pas rationnels 
you re not being rational 	vous n etes pas rationnelle 
you re not being rational 	vous n etes pas rationnelles 
you re not bored are you 	vous ne vous ennuyez pas si 
you re not entirely wrong 	tu n as pas totalement tort 
you re not going are you 	tu n y vas pas si 
you re not going are you 	vous n y allez pas si 
you re not tired are you 	vous n etes pas fatigue si 
you re not tired are you 	vous n etes pas fatiguee si 
you re not tired are you 	vous n etes pas fatiguees si 
you re not tired are you 	vous n etes pas fatigues si 
you re not tired are you 	tu n es pas fatigue si 
you re not tired are you 	tu n es pas fatiguee si 
you re not upset are you 	tu n es pas contrarie si 
you re not upset are you 	tu n es pas contrariee si 
you re not upset are you 	vous n etes pas contrarie si 
you re not upset are you 	vous n etes pas contrariee si 
you re not upset are you 	vous n etes pas contraries si 
you re not upset are you 	vous n etes pas contrariees si 
you re not yourself today 	vous n etes pas vous meme aujourd hui 
you re not yourself today 	tu n es pas toi meme aujourd hui 
you re on the right track 	tu es sur la bonne pente 
you re on the right track 	vous etes sur la bonne piste 
you re telling lies again 	tu racontes encore des mensonges 
you re too drunk to drive 	tu es trop ivre pour conduire 
you re too stupid to live 	tu es trop stupide pour vivre 
you re too stupid to live 	vous etes trop stupide pour vivre 
you re too young to marry 	tu es trop jeune pour te marier 
you re very sophisticated 	tu es tres elegante 
you re very sophisticated 	tu es fort elegante 
you re very sophisticated 	tu es tres elegant 
you re very sophisticated 	tu es fort elegant 
you re very sophisticated 	vous etes tres elegante 
you re very sophisticated 	vous etes tres elegant 
you re very sophisticated 	vous etes tres elegantes 
you re very sophisticated 	vous etes tres elegants 
you re very sophisticated 	vous etes fort elegante 
you re very sophisticated 	vous etes fort elegant 
you re very sophisticated 	vous etes fort elegantes 
you re very sophisticated 	vous etes fort elegants 
you re very sophisticated 	vous etes fort raffine 
you re very sophisticated 	vous etes fort raffinee 
you re very sophisticated 	vous etes fort raffines 
you re very sophisticated 	vous etes fort raffinees 
you re very sophisticated 	vous etes tres raffine 
you re very sophisticated 	vous etes tres raffinee 
you re very sophisticated 	vous etes tres raffines 
you re very sophisticated 	vous etes tres raffinees 
you re very sophisticated 	tu es tres raffine 
you re very sophisticated 	tu es tres raffinee 
you re very sophisticated 	tu es fort raffine 
you re very sophisticated 	tu es fort raffinee 
you re very understanding 	vous etes fort comprehensif 
you re very understanding 	vous etes fort comprehensive 
you re very understanding 	vous etes fort comprehensifs 
you re very understanding 	vous etes fort comprehensives 
you re very understanding 	vous etes tres comprehensif 
you re very understanding 	vous etes tres comprehensive 
you re very understanding 	vous etes tres comprehensifs 
you re very understanding 	vous etes tres comprehensives 
you re very understanding 	tu es tres comprehensif 
you re very understanding 	tu es tres comprehensive 
you re very understanding 	tu es fort comprehensif 
you re very understanding 	tu es fort comprehensive 
you re wearing my pajamas 	tu portes mon pyjama 
you re wrong in this case 	tu as tort dans ce cas 
you re wrong in this case 	vous avez tort dans ce cas 
he is a compulsive gambler 	c est un joueur invetere 
he is a good husband to me 	c est un bon mari pour moi 
he is a good tennis player 	c est un bon joueur de tennis 
he is a good tennis player 	c est un tres bon joueur de tennis 
he is a man of noble birth 	c est un homme de famille noble 
he is a really good worker 	c est vraiment un bon travailleur 
he is a student at harvard 	il est etudiant a harvard 
he is a teacher of english 	il est prof d anglais 
he is a teacher of english 	c est un professeur d anglais 
he is absorbed in his work 	son travail l absorbe 
he is afraid of his father 	il a peur de son pere 
he is almost six feet tall 	il fait presque six pieds de haut 
he is always full of ideas 	il est toujours plein d idees 
he is always full of ideas 	il est toujours bourre d idees 
he is an aggressive person 	c est une personne agressive 
he is busy doing something 	il est occupe a faire quelque chose 
he is capable of treachery 	il est capable de trahison 
he is careless about money 	il est negligent pour ce qui concerne l argent 
he is careless about money 	il est negligent en matiere d argent 
he is crazy about baseball 	il est fou de baseball 
he is eager to go to china 	il est desireux d aller en chine 
he is engaged to my sister 	il est fiance a ma s ur 
he is going to the concert 	il se rend au concert 
he is going to the concert 	il va au concert 
he is hunted by the police 	il est recherche par la police 
he is impatient to see you 	il est impatient de te voir 
he is in front of the door 	il est devant la porte 
he is mentally handicapped 	il est handicape mental 
he is not altogether wrong 	il n a pas entierement tort 
he is not guilty of murder 	il n est pas coupable de meurtre 
he is not strong as before 	il n est plus aussi fort qu avant 
he is not too old to do it 	il n est pas trop vieux pour le faire 
he is now staying in paris 	il sejourne actuellement a paris 
he is one of my neighbours 	c est l un de mes voisins 
he is popular with his men 	il est aime de ses hommes 
he is sitting cross legged 	il est assis en tailleur 
he is sitting on the chair 	il est assis sur la chaise 
he is standing on the hill 	il se tient sur la colline 
he is still full of energy 	il est encore plein d energie 
he is studying agriculture 	il etudie l agronomie 
he is studying at his desk 	il etudie a sa table de travail 
he is suspected of robbery 	il est suspecte de vol 
he is swimming in the pool 	il nage dans la piscine 
he is there for a few days 	il est la pour quelques jours 
he is very a dangerous man 	c est un homme tres dangereux 
he is worthy of our praise 	il merite nos louanges 
he isn t able to buy a car 	il est dans l incapacite d acheter une voiture 
he isn t who he says he is 	il n est pas ce qu il pretend etre 
he s a democrat fundraiser 	c est un collecteur de fonds pour le parti democrate 
he s a construction worker 	il est employe dans le batiment 
he s a construction worker 	c est un travailleur du batiment 
he s a high school student 	il est lyceen 
he s a law abiding citizen 	c est un citoyen respectueux des lois 
he s a man of many talents 	c est un homme aux multiples talents 
he s a man you can rely on 	c est un homme sur qui vous pouvez compter 
he s a man you can rely on 	c est un homme sur qui tu peux compter 
he s a smart little feller 	c est un petit gars intelligent 
he s a teacher and so am i 	il est professeur et moi aussi 
he s addicted to junk food 	il est accro a la malbouffe 
he s always looking at you 	il vous regarde toujours 
he s always reading comics 	il lit toujours des bandes dessinees 
he s definitely not coming 	il ne viendra decidement pas 
he s different from before 	il est different de ce qu il etait avant 
he s digging his own grave 	il creuse sa propre tombe 
he s eager to speak to you 	il a hate de vous parler 
he s handsome and charming 	il est beau et a du charme 
he s much younger than tom 	il est beaucoup plus jeune que tom 
he s my old drinking buddy 	c est mon vieux compagnon de beuverie 
he s now a college student 	il est maintenant etudiant a la fac 
he s now a college student 	il est maintenant etudiant en faculte 
he s perfect at everything 	il est parfait en tout 
he s skilled at videogames 	il est habile aux jeux video 
he s skilled at videogames 	il est doue aux jeux video 
he s somewhere in the park 	il se trouve quelque part dans le parc 
he s the captain of a team 	il est capitaine d une equipe 
he s the one who helped me 	c est lui qui m a aide 
he s writing a long letter 	il ecrit une longue lettre 
i am an optimist by nature 	je suis optimiste de nature 
i am at home every evening 	je suis chaque soir a la maison 
i am counting on your help 	je compte sur ton aide 
i am glad to hear the news 	je suis heureux d entendre ces nouvelles 
i am going down the stairs 	je descends l escalier 
i am in no mood for joking 	je ne suis pas d humeur a blaguer 
i am interested in english 	je suis interesse par l anglais 
i am just a humble teacher 	je suis juste un simple instituteur 
i am just going for a walk 	je vais juste faire une promenade 
i am never free on sundays 	je ne suis jamais libre le dimanche 
i am not equal to the task 	je ne suis pas a la hauteur de la tache 
i am not happy with my job 	je ne suis pas heureux dans mon travail 
i am often in difficulties 	je suis souvent en difficulte 
i am playing the piano now 	je suis en train de jouer du piano 
i am starting this evening 	je commence des ce soir 
i am tired of hearing that 	j en ai assez d entendre ca 
i am up to my neck in work 	j ai du travail par dessus la tete 
i am very happy in georgia 	je suis tres heureux en georgie 
i m a black belt in karate 	je suis ceinture noire de karate 
i m a citizen of the world 	je suis un citoyen du monde 
i m a good for nothing bum 	je suis un clochard bon a rien 
i m a stranger here myself 	moi meme je suis nouveau dans le coin 
i m afraid i caught a cold 	je crains de m etre enrhume 
i m afraid of wild animals 	je crains les animaux sauvages 
i m also taking this train 	moi aussi je prends ce train 
i m asking you as a friend 	je te le demande en tant qu ami 
i m asking you as a friend 	je te le demande en tant qu amie 
i m asking you as a friend 	je vous le demande en tant qu ami 
i m asking you as a friend 	je vous le demande en tant qu amie 
i m breast feeding my baby 	je nourris mon bebe au sein 
i m breast feeding my baby 	je donne le sein a mon bebe 
i m content with my salary 	je suis satisfait de mon salaire 
i m declaring an emergency 	je lance un signal de detresse 
i m definitely going crazy 	je deviens sans aucun doute fou 
i m definitely going crazy 	je deviens certainement fou 
i m departing this evening 	je pars ce soir 
i m disappointed and angry 	je suis decu et en colere 
i m doing everything i can 	je fais tout mon possible 
i m dying for a cold drink 	je creve d envie d une boisson fraiche 
i m excited about the move 	je suis excite a l idee du demenagement 
i m feeling kind of sleepy 	j ai un peu sommeil 
i m feeling very confident 	je me sens tres en confiance 
i m glad that you can come 	je me rejouis que vous puissiez venir 
i m glad that you can come 	je suis heureux que tu puisses venir 
i m glad you could be here 	je suis contente que vous soyez la 
i m glad you could make it 	je suis ravi que vous ayez pu le faire 
i m glad you could make it 	je suis ravi que vous ayez pu venir 
i m glad you could make it 	je suis ravie que vous ayez pu venir 
i m glad you re still here 	je suis content que tu sois toujours la 
i m glad you re still here 	je suis content que vous soyez toujours la 
i m going to buy a new car 	je compte m acheter une nouvelle voiture 
i m going to go take a nap 	je vais aller faire une sieste 
i m going to go take a nap 	je vais piquer un somme 
i m going to go to my room 	je vais aller dans ma chambre 
i m going to miss you too 	tu vas aussi me manquer 
i m going to miss you too 	vous allez aussi me manquer 
i m going to reconsider it 	je vais y repenser encore une fois 
i m going to see tom today 	je vais voir tom aujourd hui 
i m going to take a shower 	je vais me doucher 
i m going to tell tom that 	je vais dire ca a tom 
i m happy the game is over 	je suis heureux que le jeu soit fini 
i m happy to see you again 	je suis content de vous revoir 
i m just stating the facts 	je suis simplement en train de constater 
i m just thinking out loud 	je ne fais que penser a haute voix 
i m just trying to survive 	j essaie simplement de survivre 
i m living with my mom now 	je vis avec ma maman maintenant 
i m looking for an old man 	je cherche un vieil homme 
i m no longer angry at you 	je ne suis plus en colere apres vous 
i m no longer angry at you 	je ne suis plus en colere apres toi 
i m not as rich as you are 	je ne suis pas aussi riche que toi 
i m not being unreasonable 	je suis raisonnable 
i m not doing this anymore 	je ne le fais plus 
i m not going to disappear 	je ne vais pas disparaitre 
i m not going to sign this 	je ne vais pas signer ceci 
i m not good at pretending 	je ne suis pas bon pour faire semblant 
i m not good at pretending 	je ne suis pas bon dans la simulation 
i m not interested in that 	je n y suis pas interesse 
i m not interested in that 	je n y suis pas interessee 
i m not invited to parties 	on ne m invite pas aux fetes 
i m not invited to parties 	je ne suis pas invite a des fetes 
i m not invited to parties 	je ne suis pas invitee a des fetes 
i m not keeping this thing 	je ne vais pas garder cette chose 
i m not quite finished yet 	je n en ai pas encore tout a fait termine 
i m not selling you my car 	je ne te vends pas ma voiture 
i m not selling you my car 	je ne vous vends pas ma voiture 
i m not selling you my car 	je refuse de te vendre ma voiture 
i m not selling you my car 	je refuse de vous vendre ma voiture 
i m not sure i believe you 	je ne suis pas sur de te croire 
i m not sure what happened 	je ne suis pas sur de ce qui s est passe 
i m not sure what happened 	je ne suis pas sure de ce qui s est passe 
i m not taking any chances 	je ne vais pas prendre le moindre risque 
i m not talking about that 	je ne parle pas de ca 
i m not that desperate yet 	je ne suis pas encore si desespere 
i m not that desperate yet 	je ne suis pas encore si desesperee 
i m not very good at chess 	je ne suis pas tres bon aux echecs 
i m not very happy either 	je ne suis pas tres heureux non plus 
i m not who you think i am 	je ne suis pas celui que tu penses 
i m not who you think i am 	je ne suis pas celle que tu penses 
i m not who you think i am 	je ne suis pas celui que vous pensez 
i m not who you think i am 	je ne suis pas celle que vous pensez 
i m not worried about them 	je ne me fais pas de souci pour elles 
i m not worried about them 	je ne me fais pas de souci a leur sujet 
i m off to turkey tomorrow 	je pars en turquie demain 
i m only telling the truth 	je dis seulement la verite 
i m painting an easter egg 	je decore un uf de paques 
i m really angry right now 	je suis vraiment en colere la 
i m reluctant to visit him 	je rechigne a lui rendre visite 
i m satisfied with my work 	je suis content de mon travail 
i m saving money for a car 	j epargne pour une voiture 
i m saving money for a car 	je mets de l argent de cote pour une voiture 
i m so sorry for your loss 	je suis desole pour ta perte 
i m sorry i lost my temper 	desole j ai perdu mon sang froid 
i m sorry about last night 	je suis desole au sujet de la nuit derniere 
i m sorry about last night 	je suis desolee au sujet de la nuit derniere 
i m sorry about last night 	je suis desole a propos de hier au soir 
i m sorry about last night 	je suis desole a propos de hier soir 
i m sorry about last night 	je suis desole a propos de cette nuit 
i m sorry about last night 	je suis desole a propos de la nuit derniere 
i m sorry about last night 	je suis desolee a propos de hier au soir 
i m sorry about last night 	je suis desolee a propos de hier soir 
i m sorry about last night 	je suis desolee a propos de la nuit derniere 
i m sorry about last night 	je suis desolee a propos de cette nuit 
i m sorry about my mistake 	je suis desole pour ce malentendu 
i m sorry my father is out 	je suis desole mon pere est sorti 
i m sorry to interrupt you 	excusez moi de vous interrompre 
i m stuck in a traffic jam 	je suis coince dans un embouteillage 
i m stuck in a traffic jam 	je suis coincee dans un embouteillage 
i m sure i will find a way 	je suis certain de trouver un moyen 
i m sure he ll leave early 	je suis sur qu il partira tot 
i m sure he ll leave early 	je suis sure qu il partira tot 
i m sure that is the truth 	je suis certain qu il s agit de la verite 
i m sure that is the truth 	je suis certaine qu il s agit de la verite 
i m taking my book with me 	je prends mon livre avec moi 
i m the one who built this 	je suis celui qui a construit ceci 
i m the one who built this 	je suis celle qui a construit ceci 
i m the one who killed tom 	je suis celui qui a tue tom 
i m tired of being careful 	j en ai marre d etre prudent 
i m tired of playing games 	j en ai assez de jouer 
i m tougher than you think 	je suis plus solide que tu ne le penses 
i m very sleepy today too 	je suis tres endormi aujourd hui egalement 
i m very worried about you 	je suis tres inquiet a ton sujet 
i m very worried about you 	je suis tres inquiet a votre sujet 
i m working for mcdonald s 	je travaille chez mcdonald s 
she is a very good teacher 	elle est un tres bon professeur 
she is about as tall as me 	elle est a peu pres de la meme taille que moi 
she is always hard at work 	elle est toujours apre au travail 
she is anxious to meet you 	elle est tres desireuse de te rencontrer 
she is anxious to meet you 	elle est tres desireuse de vous rencontrer 
she is ashamed to speak up 	elle a honte de s exprimer 
she is busy cooking dinner 	elle est occupee a preparer le diner 
she is capable of anything 	elle est capable de tout 
she is currently in danger 	elle est en danger 
she is forbidden to go out 	elle est privee de sortie 
she is her own worst enemy 	elle est son propre pire ennemi 
she is interested in music 	elle s interesse a la musique 
she is just going shopping 	elle va juste faire des emplettes 
she is just going shopping 	elle va juste faire des courses 
she is much taller than me 	elle est bien plus grande que moi 
she is no ordinary student 	ce n est pas une eleve ordinaire 
she is nothing but a child 	ce n est rien qu une enfant 
she is older and wiser now 	elle est plus agee et plus sage maintenant 
she is quick at everything 	elle est rapide pour tout 
she is quick at everything 	elle est rapide en tout 
she is quite a clever girl 	c est une jeune fille assez maligne 
she is terrible at cooking 	elle est tres mauvaise cuisiniere 
she is the editor in chief 	elle est l editeur en chef 
she isn t afraid of snakes 	elle n a pas peur des serpents 
she sang better than usual 	elle a mieux chante que d ordinaire 
she saw him at the station 	elle le vit a la gare 
she saw him at the station 	elle l a vu a la gare 
she saw me enter the store 	elle m a vu penetrer dans le magasin 
she saw me enter the store 	elle m a vue penetrer dans le magasin 
she says that she is happy 	elle dit qu elle est heureuse 
she says that she s lonely 	elle dit qu elle est esseulee 
she says that she s lonely 	elle dit etre esseulee 
she seems happy to be here 	elle semble heureuse d etre ici 
she seems to have been ill 	elle semble avoir ete malade 
she set a new world record 	elle a etabli un nouveau record du monde 
she should help her mother 	elle devrait aider sa mere 
she showed her album to me 	elle m a montre son album 
she slowly closed her eyes 	elle ferma lentement les yeux 
she smiled at him uneasily 	elle lui sourit avec gene 
she smiled at him uneasily 	elle lui a souri avec gene 
she speaks a little arabic 	elle parle un peu l arabe 
she spoke to me in spanish 	elle me parla en espagnol 
she stared him in the face 	elle le regarda droit dans les yeux 
she stared him in the face 	elle l a regarde droit dans les yeux 
she stayed here by herself 	elle restait la toute seule 
she stayed out in the rain 	elle est restee dehors sous la pluie 
she suddenly became famous 	elle est soudainement devenue celebre 
she s getting on all right 	elle s en sort tres bien 
she s going to have a baby 	elle va avoir un bebe 
she s got such lovely eyes 	elle a de si beaux yeux 
she s loved by her friends 	elle est aimee de ses amis 
she s loved by her friends 	elle est aimee de ses amies 
she s never fallen in love 	elle n est jamais tombee amoureuse 
she s sitting on the bench 	elle est assise sur le banc 
she s starting to annoy me 	elle commence a m agacer 
she s wearing a loose coat 	elle porte un manteau ample 
they are in the same class 	ils sont dans la meme classe 
they are in the same class 	elles sont dans la meme classe 
they are well looked after 	on s occupe bien d eux 
they re cleaning the beach 	ils nettoient la plage 
they re cleaning the beach 	ils sont en train de nettoyer la plage 
they re in the science lab 	ils sont dans le laboratoire de sciences 
they re in the science lab 	elles sont dans le laboratoire de sciences 
they re out of their minds 	ils ont perdu l esprit 
they re out of their minds 	elles ont perdu l esprit 
they re probably americans 	ils sont probablement etasuniens 
they re probably americans 	elles sont probablement etasuniennes 
they re very close friends 	ce sont des amis tres proches 
they re very close friends 	ce sont des amies tres proches 
we are about to leave here 	nous sommes sur le point de partir d ici 
we are going to the market 	nous nous rendons au marche 
we are next door neighbors 	nous sommes les voisins d a cote 
we are not to be disturbed 	il ne faut pas nous deranger 
we are sure of his success 	nous sommes convaincus de son succes 
we are sure of his success 	nous sommes convaincues de son succes 
we re all in the same boat 	nous sommes tous sur le meme bateau 
we re all in this together 	nous sommes tous sur le meme bateau 
we re all in this together 	nous y sommes tous ensemble 
we re all on the same team 	nous faisons tous partie de la meme equipe 
we re all on the same team 	nous faisons toutes partie de la meme equipe 
we re all on the same team 	nous appartenons tous a la meme equipe 
we re all on the same team 	nous appartenons toutes a la meme equipe 
we re all working together 	nous travaillons tous ensemble 
we re almost like brothers 	nous sommes presque comme des freres 
we re buying movie tickets 	nous achetons des billets de cinema 
we re going back to boston 	nous retournons a boston 
we re going to do it again 	nous allons le refaire 
we re going to play tennis 	on va jouer au tennis 
we re going to play tennis 	nous allons jouer au tennis 
we re heading for disaster 	nous allons au devant d un desastre 
we re meant for each other 	nous sommes faits l un pour l autre 
we re meant for each other 	nous sommes destines l un a l autre 
we re meant to be together 	nous sommes censes etre ensemble 
we re not done playing yet 	nous n avons pas encore fini de jouer 
we re not from around here 	nous ne sommes pas du coin 
we re not from around here 	nous ne sommes pas d ici 
we re not getting anywhere 	nous n allons nulle part 
we re not going to make it 	ca va pas le faire 
we re not going to make it 	nous n allons pas y arriver 
we re not going to make it 	nous n allons pas y parvenir 
we re not throwing it away 	nous n allons pas le jeter 
we re not together anymore 	nous ne sommes plus ensemble 
we re on the same page now 	nous sommes maintenant en phase 
we re practically brothers 	nous sommes pratiquement freres 
you are absolutely correct 	vous avez parfaitement raison 
you are always complaining 	tu te plains toujours 
you are always complaining 	vous vous plaignez toujours 
you are always complaining 	tu as toujours a te plaindre 
you are always watching tv 	tu regardes tout le temps la tele 
you are always watching tv 	vous regardez tout le temps la television 
you are deceiving yourself 	vous vous leurrez 
you are deceiving yourself 	tu te leurres 
you are his brother right 	tu es son frere n est ce pas 
you are on the wrong plane 	vous vous etes trompe d avion 
you are on the wrong train 	tu es dans le mauvais train 
you are taller than she is 	vous etes plus grand qu elle 
you are taller than she is 	tu es plus grand qu elle 
you are taller than she is 	tu es plus grande qu elle 
you are taller than she is 	vous etes plus grande qu elle 
you are taller than she is 	vous etes plus grands qu elle 
you are taller than she is 	vous etes plus grandes qu elle 
you are tired and so am i 	tu es fatigue et moi aussi 
you are unbelievably naive 	tu es incroyablement naif 
you aren t like the others 	tu n es pas comme les autres 
you aren t like the others 	vous n etes pas comme les autres 
you re germans aren t you 	vous etes allemands n est ce pas 
you re a jolly good feller 	t es un sacre coco 
you re a jolly good feller 	vous etes un sacre coco 
you re a jolly good feller 	t es un joyeux drille 
you re a jolly good feller 	vous etes un joyeux drille 
you re acting like a child 	tu te comportes comme un enfant 
you re acting like a child 	tu agis comme un enfant 
you re acting like a child 	vous vous comportez comme une enfant 
you re acting like a child 	tu agis comme une enfant 
you re an interesting girl 	tu es une fille interessante 
you re an interesting girl 	vous etes une fille interessante 
you re in pain aren t you 	vous souffrez n est ce pas 
you re in pain aren t you 	tu souffres n est ce pas 
you re incredibly talented 	vous etes incroyablement talentueuse 
you re incredibly talented 	vous etes incroyablement talentueux 
you re incredibly talented 	vous etes incroyablement talentueuses 
you re incredibly talented 	tu es incroyablement talentueuse 
you re incredibly talented 	tu es incroyablement talentueux 
you re my only real friend 	tu es ma seule veritable amie 
you re my only real friend 	vous etes ma seule veritable amie 
you re my only real friend 	tu es mon seul veritable ami 
you re my only real friend 	vous etes mon seul veritable ami 
you re not a child anymore 	tu n es plus un bebe 
you re not allowed in here 	vous n etes pas autorise a penetrer ici 
you re not allowed in here 	tu n es pas autorise a penetrer ici 
you re not allowed in here 	tu n es pas autorisee a penetrer ici 
you re not fooling anybody 	tu ne trompes personne 
you re not fooling anybody 	vous ne trompez personne 
you re not listening to me 	tu ne m ecoutes pas 
you re not listening to me 	vous ne m ecoutez pas 
you re not sleeping enough 	tu ne dors pas suffisamment 
you re not sleeping enough 	vous ne dormez pas suffisamment 
you re part of the problem 	vous faites partie du probleme 
you re part of the problem 	tu fais partie du probleme 
you re sitting in my chair 	tu es assis sur ma chaise 
you re sitting in my chair 	tu es assise sur ma chaise 
you re stupid to trust him 	tu es stupide de lui faire confiance 
you re stupid to trust him 	vous etes idiot de vous fier a lui 
you re stupid to trust him 	vous etes stupides de vous fier a lui 
you re testing my patience 	tu mets ma patience a l epreuve 
you re testing my patience 	vous mettez ma patience a l epreuve 
you re the love of my life 	tu es l amour de ma vie 
you re unbelievably stupid 	vous etes incroyablement stupide 
you re unbelievably stupid 	tu es incroyablement stupide 
you re under investigation 	vous faites l objet d une enquete 
you re under investigation 	tu fais l objet d une enquete 
you re wealthy aren t you 	tu es riche n est ce pas 
you re wealthy aren t you 	vous etes riches n est ce pas 
you re winning aren t you 	tu gagnes n est ce pas 
you re winning aren t you 	tu es en train de gagner n est ce pas 
you re winning aren t you 	vous etes en train de gagner n est ce pas 
you re winning aren t you 	vous gagnez n est ce pas 
you re wiser than you know 	tu es plus sage que tu n en as conscience 
you re worried aren t you 	vous etes soucieux n est ce pas 
you re worried aren t you 	vous etes soucieuse n est ce pas 
you re worried aren t you 	vous etes soucieuses n est ce pas 
you re worried aren t you 	vous etes inquiet n est ce pas 
you re worried aren t you 	vous etes inquietes n est ce pas 
you re worried aren t you 	vous etes inquiete n est ce pas 
you re worried aren t you 	vous etes inquiets n est ce pas 
you re worried aren t you 	tu es inquiete pas vrai 
you re worried aren t you 	tu es inquiet pas vrai 
he is a head taller than me 	il fait une tete de plus que moi 
he is a mathematical genius 	c est un mathematicien de genie 
he is a novelist and artist 	c est un romancier et un artiste 
he is a promising young man 	c est un jeune homme prometteur 
he is almost always at home 	il est presque toujours chez lui 
he is always friendly to me 	il est toujours sympathique envers moi 
he is always neatly dressed 	il est toujours soigneusement vetu 
he is an authority on china 	il est une autorite en chine 
he is an old friend of mine 	c est un vieil ami a moi 
he is as tall as his father 	il est aussi grand que son pere 
he is busy learning english 	il est occupe a apprendre l anglais 
he is clumsy with his hands 	il est maladroit de ses mains 
he is digging his own grave 	il creuse sa propre tombe 
he is giving me a hard time 	il se montre difficile avec moi 
he is giving me a hard time 	il est casse couilles avec moi 
he is giving me a hard time 	il me donne du mal 
he is good at taking photos 	il est doue pour prendre des photos 
he is in his early thirties 	il est au debut de la trentaine 
he is innocent of the crime 	il est innocent du crime 
he is more clever than i am 	il est plus intelligent que moi 
he is more crafty than wise 	il est plus ruse que sage 
he is much taller than i am 	il est plus grand que moi 
he is no longer living here 	il n habite plus ici 
he is no match for his wife 	il ne peut pas se mesurer a sa femme 
he is not likely to succeed 	il semble probable qu il echoue 
he is not much of an artist 	il n est pas vraiment un artiste 
he is not very good company 	il n est pas de tres bonne compagnie 
he is on night duty tonight 	il travaille de nuit ce soir 
he is one of my old friends 	c est l un de mes vieux amis 
he is pleased with his work 	son travail lui plait 
he is proficient in english 	il est tres competent en anglais 
he is rarely in a good mood 	il est rarement de bonne humeur 
he is rather hard to please 	il est plutot difficile a contenter 
he is respected by everyone 	il est respecte par tout le monde 
he is roasting coffee beans 	il torrefie des feves de cafe 
he is standing on the stage 	il se tient sur la scene 
he is still very much alive 	il est encore fringant 
he is suffering from a cold 	il souffre d un rhume 
he is sure to pass the exam 	il est sur de reussir l examen 
he is the head of marketing 	c est le patron du marketing 
he is the taller of the two 	il est le plus grand des deux 
he is tremendously handsome 	il est extremement beau 
he is unfit to be a teacher 	il n est pas apte a etre enseignant 
he s a freelance journalist 	il est pigiste 
he s a freelance journalist 	c est un pigiste 
he s a freelance journalist 	c est un journaliste independant 
he s a typical japanese man 	c est un japonais typique 
